W_REGN,REGION,FOOD,CLOTH,HOUSING_WATER,HEALTH,EDUCATION,TOTAL_ANNUAL,TOTAL_MONTHLY
1,Region I - Ilocos Region,106945.63702644981,4638.322983407262,51078.1682273698,7730.361097420733,9653.656316740595,180046.1456513882,15003.845470949016
2,Region II - Cagayan Valley,89243.25309040859,4745.8865546218485,46353.186467690524,6193.4465372355835,9784.435381048972,156320.2080310055,13026.68400258379
3,Region III - Central Luzon,117807.52872992812,6234.1277718305555,67327.23986848143,8892.832543202325,8030.729469337819,208292.45838278023,17357.704865231684
4,Region IVA - CALABARZON,120197.8443293281,5462.228298185385,69337.69163805788,10594.60409514468,9086.303089749877,214678.67145046595,17889.88928753883
5,Region V - Bicol,90065.81867014046,3830.5448572723153,40521.65326234708,5488.901336656094,9143.202537381061,149050.12066379702,12420.843388649751
6,Region VI - Western Visayas,100481.64328378877,5127.309453471196,46890.306037666174,8011.193500738553,10728.25378508124,171238.70606074593,14269.892171728827
7,Region VII - Central Visayas,92849.46775199655,4056.627347291172,55361.07565292467,6547.220375566588,9389.715087416362,168204.10621519535,14017.008851266279
8,Region VIII - Eastern Visayas,92997.7848285269,3709.23343725643,43880.50077942323,6144.597135619641,7009.266075604053,153741.38225643025,12811.781854702522
9,Region IX - Zamboanga Peninsula,93424.11922767857,4556.204166666666,34755.160416666666,5217.588988095238,6222.84880952381,144175.92160863092,12014.660134052576
10,Region X - Northern Mindanao,87987.21815265255,4107.209687565527,45422.467183896,6323.305305095408,8495.55766408052,152335.75799329003,12694.646499440836
11,Region XI - Davao,79285.78502071522,4112.960204971653,38423.829808111645,4665.94930222416,6078.265481901439,132566.78981792412,11047.23248482701
12,Region XII - SOCCSKSARGEN,86449.43919559695,4975.341941857183,35311.33206322326,6580.254868755292,6336.661868473046,139653.02993790573,11637.752494825478
13,National Capital Region,140536.7590057999,6257.09497341711,108601.35567907202,10271.292218463026,8958.776607056549,274625.2784838086,22885.439873650717
14,Cordillera Administrative Region,99049.3752116578,5739.451019503546,51052.80186170213,6883.697695035461,12104.56992464539,174829.89571254433,14569.15797604536
16,Region XIII - Caraga,95473.37108118126,4162.043741505005,39842.762387248236,5907.50302730755,9227.656246138638,154613.3364833807,12884.444706948392
17,Region IVB - MIMAROPA,85493.0565027021,4271.762214624462,39381.70706959303,6261.697915517811,5182.709165104224,140590.93286754162,11715.911072295135
19,Bangsamoro Autonomous Region in Muslim Mindanao,92027.94742952699,4931.6880076445295,25725.677591973243,2176.4155757286194,3652.816817964644,128514.54542283803,10709.545451903168
